strategy,strategy_display_name,category,batch_size,replication,total_latency,l1_hit_rate,l2_hit_rate,l3_hit_rate,overall_hit_rate,miss_rate,average_cache_latency,total_accesses,deduplication_efficiency
pregated_moe,Pre-gated MoE,Paper Baseline,16,4,68784.40000000002,0.12229166666666667,0.12229166666666667,0.0578125,0.3023958333333333,0.6976041666666667,7.165041666666666,9600,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,16,4,72072.10000000002,0.1178125,0.116875,0.026979166666666665,0.2616666666666667,0.7383333333333333,7.507510416666667,9600,0.0
topk_ours,Top-K (Ours),Our Contribution,16,4,85350.0,0.0,0.0,0.0,0.0,1.0,10.0,8535,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,16,4,85350.0,0.0,0.0,0.0,0.0,1.0,10.0,8535,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,16,4,64990.7,0.10275336848271822,0.14036321031048624,0.004335090802577621,0.24745166959578202,0.752548330404218,7.614610427650849,8535,11.09375
on_demand,On-Demand,Baseline,32,0,136125.29999999993,0.12333333333333334,0.12776041666666665,0.05942708333333333,0.31052083333333336,0.6894791666666666,7.089859375,19200,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,32,0,136035.0,0.12395833333333334,0.12677083333333333,0.06041666666666667,0.31114583333333334,0.6888541666666667,7.08515625,19200,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,32,0,141769.1,0.12270833333333334,0.12536458333333333,0.026302083333333334,0.27437500000000004,0.725625,7.383807291666667,19200,0.0
topk_ours,Top-K (Ours),Our Contribution,32,0,152210.0,0.0,0.0,0.0,0.0,1.0,10.0,15221,0.0
multilook_ours,Multi-Look-Ahead (Ours),Our Contribution,32,0,152210.0,0.0,0.0,0.0,0.0,1.0,10.0,15221,0.0
intelligent_dedup_ours,Intelligent+Deduplication (Ours),Our Complete Solution,32,0,115292.29999999994,0.0898758294461599,0.16076473293476118,0.0010511792917679522,0.25169174167268904,0.748308258327311,7.574554891268642,15221,20.723958333333332
on_demand,On-Demand,Baseline,32,1,137157.90000000005,0.12078125,0.12708333333333333,0.056666666666666664,0.30453125000000003,0.69546875,7.143640625,19200,0.0
pregated_moe,Pre-gated MoE,Paper Baseline,32,1,137142.30000000002,0.12307291666666667,0.1225,0.059375,0.30494791666666665,0.6950520833333333,7.142828124999999,19200,0.0
expertflow_plec,ExpertFlow PLEC,Paper Baseline,32,1,143402.90000000005,0.12052083333333333,0.12057291666666667,0.0240625,0.26515625,0.73484375,7.468901041666666,19200,0.0
